benchmark_uri,suite,protocol,batch,pass_flag,sample_idx,elapsed_sec,returncode,out_sha256,input_file
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-unswitch,0,0.007259533,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-unswitch,1,0.010418817,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-unswitch,2,0.006525915,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-distribute,0,0.006484769,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-distribute,1,0.006559735,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-loop-distribute,2,0.006509423,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-indvars,0,0.006564187,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-indvars,1,0.007322412,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,1,-indvars,2,0.006633686,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,O0,0,0.008451961,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,O0,1,0.008393303,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,O0,2,0.006408546,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,0,0.006300164,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,1,0.008195288,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,2,0.007058170,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,0,0.006285394,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,1,0.006341355,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,2,0.008381370,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,0,0.006874988,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,1,0.006609017,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,2,0.006355554,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,0,0.007565236,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,1,0.007424362,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,2,0.007194823,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,0,0.006514674,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,1,0.006480904,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,2,0.006358523,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,0,0.006370563,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,1,0.006409496,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,2,0.007175623,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,0,0.006485876,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,1,0.007349811,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,2,0.007654063,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,0,0.006725987,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,1,0.007654317,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,2,0.009053767,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,0,0.675223950,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,1,0.746172687,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,2,0.764083769,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,3,0.691518638,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,4,0.692081831,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,0,0.655837316,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,1,0.679809859,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,2,0.820848769,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,3,0.664173156,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,4,0.673973259,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,0,0.678525878,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,1,0.776712600,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,2,0.685382500,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,3,0.665651189,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,4,0.670620220,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-unroll,0,0.702645902,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-unroll,1,0.801787611,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-unroll,2,0.705823703,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-unroll,3,0.663965778,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-unroll,4,0.689112537,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-vectorize,0,0.677113177,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/daytona/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
